CC	COORDCONJUNCTION
CD	CARDINAL
DT	DETERMINER
EX	EXISTTHERE
FW	FOREIGNWORD
IN	PREPOSITION
JJ	ADJECTIVE
JJR	ADJECTIVE
JJS	ADJECTIVE
LS	LISTMARKER
MD	MODAL
NN	NOUN
NNS	NOUN
NNP	NOUN
NNPS	NOUN
PDT	PREDETERMINER
POS	POSSESSIVEEND
PRP	PRONOUN
PRP$	PRONOUN
RB	ADVERB
RBR	ADVERB
RBS	ADVERB
RP	PARTICLE
SYM	SYMBOL
TO	TO
UH	INTERJECTION
VB	VERB
VBD	VERB
VBG	VERB
VBN	VERB
VBP	VERB
VBZ	VERB
WDT	WHDETERMINER
WP	WHDETERMINER
WP$	WHDETERMINER
WRB	WHDETERMINER
